DWZZJGDM,SJDWMC,DWXZMC,DWHYMC,GZZWLBMC,DWSZDDM
911101085603520398,微梦创科网络科技（中国）有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
9143010266858793XC,湖南中通锦名服务有限公司,国有企业,科学研究和技术服务业,工程技术人员,湖南省长沙市芙蓉区
722997404,中国移动通信集团天津有限公司,国有企业,信息传输、软件和信息技术服务业,商业和服务业人员,天津市东丽区
9144190039807595XC,东莞市世联通信科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,办事人员和有关人员,广东省深圳市罗湖区
733458879,北京同方微电子有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
110051570,国网山西省电力公司信息通信分公司,国有企业,批发和零售业,工程技术人员,山西省太原市杏花岭区
583060522,山东亿云信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,山东省济南市历下区
352049692,河南航空港卫视传媒有限公司,国有企业,批发和零售业,其他专业技术人员,河南省郑州市金水区
91540000219667301T,中国民用航空西藏自治区管理局,国有企业,交通运输、仓储和邮政业,工程技术人员,西藏拉萨市城关区
91610116MA6TYPUP3F,陕西济邦教育科技有限公司,其他企业（含民营企业等）,教育,教学人员,陕西省西安市长安区
787933081,惠州雷士光电科技有限公司,外商投资企业,制造业,其他专业技术人员,广东省惠州市惠城区
91421000178961247G,湖北广兴通信科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,湖北省荆州市沙市区
911101086003836827,北京京鸿志科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,北京市海淀区
67858429X,深圳市天威网络工程有限公司,国有企业,文化、体育和娱乐业,工程技术人员,广东省深圳市罗湖区
91610131668680210X,西安华炎信息科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市雁塔区
607280598,上海宝信软件股份有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
718041506,海尔集团,其他企业（含民营企业等）,制造业,其他专业技术人员,山东省青岛市崂山区
9133000014306073XD,中电海康集团有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市余杭区
569590578,中电科微波通信上海股份有限公司,国有企业,科学研究和技术服务业,科学研究人员,上海市嘉定区
91450500MA5KDYN63R,凡普金科集团有限公司,其他企业（含民营企业等）,金融业,工程技术人员,北京市东城区
168357011,日照港集团有限公司,国有企业,交通运输、仓储和邮政业,工程技术人员,山东省日照市东港区
91440300311666571Q,深圳中电国际信息科技有限公司,国有企业,信息传输、软件和信息技术服务业,商业和服务业人员,广东省深圳市罗湖区
786471401,中国南方电网有限责任公司调峰调频发电公司,国有企业,批发和零售业,工程技术人员,广东省广州市天河区
327598294,广州腾讯科技有限公司,外商投资企业,交通运输、仓储和邮政业,工程技术人员,广东省广州市海珠区
913101160559126995,千江（上海）信息科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市雁塔区
91610131MA6TYXXQZT,陕西远卓人力资源服务有限公司,其他企业（含民营企业等）,居民服务、修理和其他服务业,其他人员,陕西省西安市雁塔区
91610131333730933M,西安启泽环保科技有限公司,其他企业（含民营企业等）,水利、环境和公共设施管理业,工程技术人员,陕西省西安市雁塔区
965966514,中国联合网络通信有限公司烟台市分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,山东省烟台市牟平区
699653098,山东中移通信技术工程有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91110108575230536U,北京雷久科技有限责任公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
724003020,青岛高科通信股份有限公司,其他企业（含民营企业等）,电力、热力、燃气及水生产和供应业,工程技术人员,山东省青岛市崂山区
336752636,合肥京东方显示技术有限公司,其他企业（含民营企业等）,制造业,工程技术人员,安徽省合肥市瑶海区
MA6TXTTWX,中控技术（西安）有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市雁塔区
142919290,中电海康集团有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市
774730509,中电科技（北京）有限公司,国有企业,信息传输、软件和信息技术服务业,科学研究人员,北京市海淀区
713670098,富晋精密工业（晋城）有限公司,外商投资企业,制造业,工程技术人员,山西省晋城市城区
834758993,中国银行股份有限公司江苏省分行,国有企业,金融业,金融业务人员,江苏省南京市秦淮区
91610131561454643T,西安尚赛信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市
91440300667055173B,深圳华智融科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市南山区
91610113098750271J,陕西汉沣新能源有限公司,其他企业（含民营企业等）,水利、环境和公共设施管理业,工程技术人员,陕西省西安市雁塔区
9165010206208764XU,国网新疆电力有限公司信息通信公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,新疆乌鲁木齐市天山区
687611253,北京小鸟科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市昌平区
91330000720084302R,浙江雷博人力资源开发有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市下城区
91440113MA59CB1G7G,广州三人行壹佰教育科技有限公司,其他企业（含民营企业等）,教育,其他人员,广东省广州市番禺区
000018032,国家信息中心,其他事业单位,信息传输、软件和信息技术服务业,科学研究人员,北京市西城区
000019246,中国邮政集团公司信息技术局,国有企业,批发和零售业,工程技术人员,北京市西城区
717805199,国家密码管理局商用密码检测中心,科研设计单位,信息传输、软件和信息技术服务业,工程技术人员,北京市丰台区
056154156,深圳益强信息科技有限公司,其他企业（含民营企业等）,科学研究和技术服务业,科学研究人员,广东省深圳市宝安区
9144030073625736XQ,深圳联友科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省广州市花都区
915101156675659155,成都航天和信机电设备厂,其他企业（含民营企业等）,制造业,商业和服务业人员,四川省成都市温江区
MA1FL0HA7,兴业数字金融服务（上海）股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
913301063419380801,杭州情咖网络技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,办事人员和有关人员,浙江省杭州市余杭区
91110107660539466X,蓝港在线（北京）科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,北京市朝阳区
91110108MA0197G91C,北京荧光科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
583245607,杭州先途电子有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市江干区
690716697,哈尔滨海能达科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,黑龙江省哈尔滨市松北区
91610103311029978E,陕西小雨网络科技有限公司,其他企业（含民营企业等）,教育,教学人员,陕西省西安市碑林区
699845890,杭州品联科技有限公司,其他企业（含民营企业等）,电力、热力、燃气及水生产和供应业,经济业务人员,四川省成都市武侯区
771201812,中国电子科技集团公司第三十研究所,科研设计单位,信息传输、软件和信息技术服务业,科学研究人员,四川省成都市武侯区
687582704,顺丰科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市南山区
722617619,金航数码科技有限责任公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,北京市朝阳区
91510700671440445R,四川虹信软件股份有限公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,四川省绵阳市涪城区
750969187,合肥华威自动化有限公司,其他企业（含民营企业等）,制造业,工程技术人员,安徽省合肥市庐阳区
350298100000405,厦门华联电子股份有限公司,其他企业（含民营企业等）,制造业,其他人员,福建省厦门市湖里区
91610131MA6U9HMHX3,西安诺君安信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
914404007480139363,珠海市魅族科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省珠海市香洲区
91110108670577124K,北京通广龙电子科技有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
306323865,北京匡恩网络科技有限责任公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市
457934858,新疆阿克苏市教育局,中初教育单位,教育,教学人员,新疆阿克苏市
91610000681557583Y,陕西日晟新能源科技有限公司,其他企业（含民营企业等）,电力、热力、燃气及水生产和供应业,其他人员,陕西省西安市雁塔区
91610113MA6WDRHQ29,西安亿天安岩土技术有限公司,其他（含社会组织、国际组织等）,制造业,工程技术人员,陕西省西安市市辖区
91110000717740639D,艺龙网信息技术（北京）有限公司,其他企业（含民营企业等）,科学研究和技术服务业,公务员,北京市朝阳区
717845991,工业和信息化部威海电子信息技术综合研究中心,其他事业单位,信息传输、软件和信息技术服务业,其他专业技术人员,山东省威海市环翠区
710127372,西安三茗科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
746538966,上海科汇人才服务有限公司,国有企业,科学研究和技术服务业,工程技术人员,上海市徐汇区
744771385,武汉烽火信息集成技术有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,湖北省武汉市洪山区
786978747,陕西凌云电器集团有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,陕西省宝鸡市渭滨区
760671069,中国电信股份有限公司湖北分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,湖北省宜都市
91310115729505759X,泛林半导体设备技术（上海）有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
91110108074152541R,北京西山居互动娱乐科技有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,其他人员,北京市海淀区
914401117329733182,广州市迪士普音响科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省广州市白云区
135908745,无锡市安保染料化工有限公司,其他企业（含民营企业等）,制造业,工程技术人员,江苏省无锡市滨湖区
91451402708667601P,中国移动通信集团广西有限公司崇左分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,广西崇左市江州区
91110108802037040C,北京普源精电科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市昌平区
221465493,陕西关中建筑工程有限公司,其他企业（含民营企业等）,建筑业,工程技术人员,陕西省西安市
91510100MA61T83D47,成都奥特为通讯有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,四川省成都市
913702126645298554,青岛歌尔声学科技有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,山东省青岛市崂山区
706780942,安阳钢铁集团有限责任公司,国有企业,制造业,工程技术人员,河南省安阳市
91610132MA6U00T26N,陕西长银消费金融有限公司,其他企业（含民营企业等）,租赁和商务服务业,军人,陕西省西安市
198598668,中国航天科工集团八O一厂,国有企业,制造业,工程技术人员,广西柳州市柳北区
91652900313442379A,国网新疆电力公司阿克苏供电公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,新疆阿克苏市
556407500,成都地铁运营有限公司,国有企业,交通运输、仓储和邮政业,工程技术人员,四川省成都市成华区
294205983,中航飞机股份有限公司西安飞机分公司,国有企业,制造业,工程技术人员,陕西省西安市阎良区
91653101313437027U,国网新疆电力公司疆南供电公司,国有企业,电力、热力、燃气及水生产和供应业,其他人员,新疆喀什市
91361100081468632N,汉腾汽车有限公司,其他企业（含民营企业等）,制造业,工程技术人员,江西省上饶市信州区
91131081MA07T1UN3C,霸州市云谷电子科技有限公司,其他企业（含民营企业等）,制造业,生产和运输设备操作人员,河北省霸州市
692919455,上海和宗焊接设备制造有限公司,其他企业（含民营企业等）,制造业,工程技术人员,上海市浦东新区
91610000710072607X,国网陕西省电力公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,陕西省西安市碑林区
668698867,西安力生实业有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,其他人员,陕西省西安市新城区
680526398,中科芯集成电路股份有限公司,国有企业,科学研究和技术服务业,科学研究人员,江苏省无锡市滨湖区
100003962,中国工商银行数据中心（北京）,国有企业,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
562811235,北京外企人力资源服务福建有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他人员,福建省厦门市
315252667,广东利元亨智能装备有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省惠州市惠城区
081015174,中国葛洲坝集团第三工程有限公司,国有企业,建筑业,工程技术人员,陕西省西安市雁塔区
91320594MA1MEYWG29,苏州凡谷电子技术有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,江苏省苏州市吴中区
217220565,云南电网有限责任公司曲靖供电局,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,云南省曲靖市麒麟区
192215507,深圳市金地物业管理有限公司,其他企业（含民营企业等）,房地产业,其他专业技术人员,广东省深圳市南山区
748621958,华陆工程科技有限责任公司,国有企业,建筑业,工程技术人员,湖北省襄阳市襄州区
103061295,国网天津市电力公司,国有企业,制造业,工程技术人员,天津市市辖区
914413006178859107,志源塑胶制品（惠州）有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省惠州市惠城区
H52631369,国家无线电监测中心检测中心,科研设计单位,信息传输、软件和信息技术服务业,科学研究人员,北京市东城区
556781535,重庆华峰化工有限公司,其他企业（含民营企业等）,制造业,工程技术人员,重庆市涪陵区
231251149,白云电气集团有限公司,其他企业（含民营企业等）,电力、热力、燃气及水生产和供应业,工程技术人员,广东省广州市白云区
91110107051388463Y,北京新唐思创教育科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
797456688,西安出口加工区投资建设有限公司,国有企业,房地产业,工程技术人员,陕西省西安市未央区
398635363,上海雷锤信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市青浦区
126100007379657044,陕西国防工业职业技术学院,其他企业（含民营企业等）,教育,工程技术人员,陕西省西安市鄠邑区
754770773,招银网络科技（杭州）有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市
313134915,沈阳盛恒德宝机电设备有限公司,其他企业（含民营企业等）,水利、环境和公共设施管理业,工程技术人员,辽宁省沈阳市铁西区
707996542,珠海瓦特电力设备有限公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,广东省珠海市香洲区
279446850,欣旺达电子股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省深圳市宝安区
914401010545112790,软通动力技术服务有限公司广州分公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省广州市天河区
MA40M2NC4,郑州泰格弗斯健身服务有限公司,其他企业（含民营企业等）,文化、体育和娱乐业,其他专业技术人员,河南省郑州市金水区
791604758,完美世界(北京)软件有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,北京市朝阳区
676138165,重庆长安新能源汽车有限公司,国有企业,制造业,工程技术人员,重庆市渝北区
91610000598752468R,中航飞机股份有限公司西安飞机分公司,国有企业,制造业,其他专业技术人员,陕西省西安市阎良区
9151010067966155X9,成都天马微电子有限公司,国有企业,制造业,工程技术人员,四川省成都市
551229661,徐州徐工基础工程机械有限公司,国有企业,建筑业,工程技术人员,江苏省徐州市鼓楼区
91610125MA6U58CU6D,西安智谷非凡网络科技有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市鄠邑区
MA5L03QX9,北海中创金联海燕电子商务有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,广西北海市海城区
MA6U1D284,陕西伯君税务师事务所有限公司,其他企业（含民营企业等）,金融业,其他人员,陕西省西安市莲湖区
MA345RKL6,厦门白山耘科技有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,工程技术人员,福建省厦门市
320508065,联芸科技（杭州）有限公司,外商投资企业,信息传输、软件和信息技术服务业,科学研究人员,浙江省杭州市滨江区
220521166,西安飞机工业（集团）有限责任公司,国有企业,制造业,工程技术人员,陕西省西安市阎良区
91330201MA282L2841,宁波均胜普瑞智能车联有限公司,其他企业（含民营企业等）,制造业,工程技术人员,浙江省宁波市海曙区
91610103587413831G,陕西仕丞教育科技有限公司,其他企业（含民营企业等）,制造业,工程技术人员,陕西省西安市
91440300685377950T,深圳中兴网信科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,广东省深圳市南山区
051592253,西安庚商网络信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,陕西省西安市新城区
784980966,昆山杰士德精密工业有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,江苏省昆山市
914413023152526673,广东利元亨智能装备有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省惠州市惠城区
12360000491015556U,南昌大学,高等教育单位,教育,教学人员,江西省南昌市市辖区
126100004352012743,西北大学,高等教育单位,教育,教学人员,陕西省西安市碑林区
684798315,北京华图宏阳教育文化发展股份有限公司陕西分公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,其他人员,北京市东城区
733524418,山东出入境检验检疫局,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,公务员,北京市东城区
485485594,淮北师范大学,高等教育单位,教育,教学人员,安徽省淮北市
753999963,众泰控股集团有限公司,其他企业（含民营企业等）,制造业,其他人员,浙江省永康市
695301335,武汉新芯集成电路制造有限公司,其他企业（含民营企业等）,制造业,工程技术人员,湖北省武汉市武昌区
739828412,第三军医大学,部队,军队,教学人员,重庆市沙坪坝区
062794782,北京极科极客科技有限公司,其他企业（含民营企业等）,水利、环境和公共设施管理业,其他专业技术人员,北京市海淀区
91370212614311559E,三菱重工海尔（青岛）空调机有限公司,外商投资企业,制造业,工程技术人员,山东省青岛市崂山区
916101037974845743,西安夏溪电子科技有限公司,其他企业（含民营企业等）,制造业,工程技术人员,陕西省西安市碑林区
310225000657185,上海和宗焊接设备制造有限公司,其他企业（含民营企业等）,制造业,工程技术人员,上海市浦东新区
91440300MA5DJ9ED1E,深圳金盛生物科技发展有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省深圳市
789079050,苏州新东方学校,其他企业（含民营企业等）,教育,教学人员,江苏省苏州市吴中区
911310227857471383,京东方（河北）移动显示技术有限公司,国有企业,制造业,工程技术人员,河北省固安县
398732649,微软亚太科技有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,上海市闵行区
400011294,中国电子科技集团公司第十五研究所,科研设计单位,科学研究和技术服务业,工程技术人员,北京市海淀区
094280946,天津字节跳动科技有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,天津市河东区
596643970,浙江菜鸟供应链管理有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市余杭区
429201008,贵阳铝镁设计研究院有限公司,国有企业,信息传输、软件和信息技术服务业,科学研究人员,贵州省贵阳市
91131022MA07T0QG8Y,云谷（固安）科技有限公司,其他企业（含民营企业等）,制造业,工程技术人员,河北省固安县
91610131MA6TY7TL50,北京律智知识产权代理有限公司西安分公司,其他企业（含民营企业等）,公共管理、社会保障和社会组织,其他专业技术人员,陕西省西安市雁塔区
782528589,北京美图之家科技有限公司,其他企业（含民营企业等）,文化、体育和娱乐业,其他人员,北京市海淀区
91440300279446850J,欣旺达电子股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省深圳市宝安区
600040399,微软（中国）有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
437202545,西安铁路职业技术学院,高等教育单位,教育,教学人员,陕西省西安市莲湖区
339829205,神策网络科技（北京）有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
357029359,陕西优才网络科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
594505224,上海通用汽车有限公司武汉分公司,外商投资企业,交通运输、仓储和邮政业,工程技术人员,湖北省武汉市
705459639,厦门宏发电力电器有限公司,其他企业（含民营企业等）,制造业,工程技术人员,福建省厦门市集美区
91210200665825074T,大连连城数控股份有限公司,外商投资企业,制造业,工程技术人员,辽宁省大连市甘井子区
91640000624902205X,宁夏共享集团股份有限公司,外商投资企业,制造业,工程技术人员,宁夏银川市金凤区
91120116559477395M,天津华强富城建筑安装有限公司,国有企业,建筑业,工程技术人员,天津市滨海新区
109271752,中国人民解放军第六九一六工厂,国有企业,制造业,工程技术人员,河北省廊坊市
91131000109271752U,中国人民解放军第六九一六工厂,国有企业,制造业,工程技术人员,河北省廊坊市广阳区
744327380,华晨汽车集团控股有限公司,国有企业,制造业,工程技术人员,辽宁省沈阳市铁西区
694916549,陕西军工人力资源有限责任公司,其他企业（含民营企业等）,科学研究和技术服务业,科学研究人员,陕西省西安市雁塔区
669405085,瑞庭网络技术（上海）有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
698615903,陕西东鹏房地产开发有限公司,其他企业（含民营企业等）,建筑业,工程技术人员,陕西省西安市未央区
350608980,北京华如科技股份有限公司成都分公司,其他企业（含民营企业等）,水利、环境和公共设施管理业,工程技术人员,四川省成都市金牛区
91610131311102856J,西安因变光电科技有限公司,其他企业（含民营企业等）,科学研究和技术服务业,其他人员,陕西省西安市雁塔区
MA1MEJF7X,淮安德科码半导体有限公司,外商投资企业,制造业,工程技术人员,江苏省淮安市淮安区
763035164,上海赛科利汽车模具技术应用有限公司,外商投资企业,制造业,工程技术人员,上海市浦东新区
91310120312374490B,上海鼎充新能源技术有限公司,其他企业（含民营企业等）,制造业,工程技术人员,上海市松江区
91320804MA1MEJF7X7,德淮半导体有限公司,外商投资企业,制造业,工程技术人员,江苏省淮安市淮阴区
709253064,成都索贝数码科技股份有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,四川省成都市武侯区
400012860,北京环境特性研究所,科研设计单位,信息传输、软件和信息技术服务业,工程技术人员,北京市市辖区
794302755,桂林优利特医疗电子有限公司,其他企业（含民营企业等）,卫生和社会工作,其他专业技术人员,广西桂林市七星区
708731386,上汽通用五菱汽车股份有限公司,国有企业,制造业,工程技术人员,广西柳州市柳南区
326663496,深圳羚羊极速科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市南山区
588707612,北京爱奇艺科技有限公司上海分公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市黄浦区
092783865,中航飞机股份有限公司研发中心,科研设计单位,科学研究和技术服务业,工程技术人员,陕西省西安市阎良区
91440600696474684X,浙江爱旭太阳能科技有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省佛山市三水区
696474684,浙江爱旭太阳能科技有限公司,其他企业（含民营企业等）,制造业,工程技术人员,浙江省杭州市
743749397,桑州信息电气有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市长宁区
610400100111898,咸阳彩虹光电科技有限公司,国有企业,制造业,工程技术人员,陕西省咸阳市秦都区
561476981,广州兴森快捷电路科技有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,陕西省西安市雁塔区
675676068,北京赞同科技发展有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91610131MA6U7RMQXL,中电科技（北京）有限公司西安分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
005139044,山东省青岛市四方国家税务局,机关,信息传输、软件和信息技术服务业,公务员,山东省青岛市
294204008,比亚迪汽车有限公司,其他企业（含民营企业等）,制造业,工程技术人员,湖北省襄阳市襄州区
91320400704046517A,江苏银行股份有限公司常州分行,其他企业（含民营企业等）,金融业,金融业务人员,江苏省常州市天宁区
706936732,湖北三江航天万峰科技发展有限公司,国有企业,制造业,工程技术人员,湖北省孝感市孝南区
520115000169945,贵州航天林泉电机有限公司,国有企业,制造业,工程技术人员,贵州省贵阳市
32355012X,江苏龙芯梦兰信息安全技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,江苏省常熟市
100004447,中国建设银行股份有限公司,其他企业（含民营企业等）,金融业,其他专业技术人员,北京市西城区
801146341,北京先进数通信息技术股份公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
070706324,南京金智视讯技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,江苏省南京市江宁区
913501813376201683,福州京东方光电科技有限公司,国有企业,制造业,工程技术人员,福建省福清市
698900982,海航航空技术股份有限公司,其他企业（含民营企业等）,交通运输、仓储和邮政业,工程技术人员,海南省海口市美兰区
742833597,西安航空制动科技有限公司,国有企业,制造业,工程技术人员,陕西省西安市雁塔区
911408008136321364,国网山西省电力公司运城供电公司,国有企业,电力、热力、燃气及水生产和供应业,其他专业技术人员,山西省运城市盐湖区
660605777,国网新疆电力公司乌鲁木齐供电公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,新疆乌鲁木齐市新市区
742203130,国网新疆电力公司电力科学研究院,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,新疆乌鲁木齐市新市区
91371581MA3C0XER3X,国网山东省电力公司临清市供电公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,山东省临清市
10000595X,交通银行股份有限公司,国有企业,金融业,工程技术人员,上海市浦东新区
670019325,深圳市中小企业信用融资担保集团有限公司,国有企业,金融业,工程技术人员,广东省深圳市福田区
91622900060621757G,国网临夏供电公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,甘肃省临夏回族自治州
662437084,上海维宏电子科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市奉贤区
607396099,上海恩艾仪器有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
338572495,陕西今日网络信息科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
91610131MA6W5XBE9K,西安西电链科信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市市辖区
096273715,北京网信金服信息科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,北京市朝阳区
674599064,上海拜安实业有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
397742191,完美世界（重庆）互动科技有限公司北京分公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市朝阳区
91610131766983282P,西安东为实业（集团）有限公司,其他企业（含民营企业等）,采矿业,科学研究人员,陕西省西安市碑林区
752575691,内蒙古浩特环保工业发展有限责任公司,其他企业（含民营企业等）,制造业,其他人员,内蒙古达拉特旗
91420111MA4KLKKWOK,武汉金宝贝健康管理咨询有限公司,其他企业（含民营企业等）,卫生和社会工作,公务员,湖北省武汉市洪山区
670120861,四川省泰金建筑工程有限责任公司,其他企业（含民营企业等）,建筑业,工程技术人员,四川省屏山县
676666021,深圳市彬讯科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市南山区
789324669,武汉佰钧成技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市新城区
575089384,成都银行股份有限公司西安分行,其他企业（含民营企业等）,金融业,金融业务人员,陕西省西安市雁塔区
